team,logo,first_team,second_team,third_team,star_points
The Traveling Secretaries,https://i.imgur.com/wll1Ubw.jpg,5,3,3,24
The Novaks,https://i.imgur.com/DPLqmOq.jpg,1,5,2,15
Mt. Everest Taquito Farmers,https://i.imgur.com/VW41hvO.gif,3,2,1,14
The West Bank Occupiers,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/2000px-Flag_of_Israel.svg.png,3,1,1,12
The Talmudic Tunnelers,https://64.media.tumblr.com/0a5cf45b1a3869db928255d8982d407f/bb2cb8147657a525-1f/s640x960/bfbb193017d6048f0e1528411316841adb2858a2.jpg,2,2,0,10
Tucker? I hardly know her,https://mystique-api.fantasy.espn.com/apis/v1/domains/lm/images/e68dff90-20d3-11f1-8e1d-8fda8893658d,2,2,0,10
All That is Wright,https://mystique-api.fantasy.espn.com/apis/v1/domains/lm/images/14b70890-213c-11f1-925d-9707aef79b0b,2,0,4,10
Ketel Bells,https://g.espncdn.com/lm-static/flb/images/default_logos/15.svg,1,2,3,10
Bibee-di-Bobbidi-Boo,https://mystique-api.fantasy.espn.com/apis/v1/domains/lm/images/c04a8c70-20d5-11f1-a3db-1b8e3b53005a,1,1,3,8
Blasphemous Hot Takes,https://i.imgur.com/8kDpq7D.png,1,2,0,7
Top Gunner: Henderson,https://mystique-api.fantasy.espn.com/apis/v1/domains/lm/images/d33e4540-20e1-11f1-a3db-1b8e3b53005a,1,1,2,7
Book of Bob,https://g.espncdn.com/lm-static/logo-packs/flb/fake-team-logos-martin-laksman/logos--11.svg,0,1,3,5
