team,team_id,playoffs,last_place,champ,matchup_id,mean_pts,mean_wins
The Talmudic Tunnelers,1,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
Tucker? I hardly know her,2,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
All That is Wright,4,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
The Traveling Secretaries,5,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
The Novaks,6,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
Bibee-di-Bobbidi-Boo,7,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
Mt. Everest Taquito Farmers,8,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
Book of Boba Chette,9,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
The West Bank Occupiers,11,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
Blasphemous Hot Takes,12,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
Ketel Bells,13,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
Top Gunner: Henderson,14,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
All That is Wright,4,0.3244,0.0876,0.082,1,6889,9.9
Bibee-di-Bobbidi-Boo,7,0.2714,0.1089,0.0688,1,6834,9.7
Blasphemous Hot Takes,12,0.3497,0.0782,0.0884,1,6926,10.1
Book of Boba Chette,9,0.4238,0.0493,0.1059,1,7002,10.5
Ketel Bells,13,0.4185,0.0467,0.1049,1,6986,10.5
Mt. Everest Taquito Farmers,8,0.2411,0.1205,0.0577,1,6796,9.5
The Novaks,6,0.3138,0.0925,0.0788,1,6863,9.9
The Talmudic Tunnelers,1,0.2424,0.1181,0.062,1,6803,9.5
The Traveling Secretaries,5,0.2648,0.11,0.0606,1,6815,9.6
The West Bank Occupiers,11,0.386,0.063,0.0982,1,6977,10.3
Top Gunner: Henderson,14,0.3591,0.0729,0.0901,1,6920,10.1
Tucker? I hardly know her,2,0.405,0.0523,0.1026,1,6964,10.4
All That is Wright,4,0.5284,0.0254,0.1376,2,5976,11.1
Bibee-di-Bobbidi-Boo,7,0.2783,0.0898,0.0639,2,5776,9.7
Blasphemous Hot Takes,12,0.2015,0.1468,0.0507,2,5700,9.1
Book of Boba Chette,9,0.4775,0.0348,0.1125,2,5858,10.9
Ketel Bells,13,0.3089,0.0819,0.0758,2,5710,9.9
